,compound,date,negative,neutral,positive,text,user
24,0.0,Sun Jan 07 19:19:39 +0000 2018,0.0,1.0,0.0,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB",@BBC
25,-0.1531,Sun Jan 07 19:18:56 +0000 2018,0.074,0.926,0.0,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…",@BBC
26,0.3612,Sun Jan 07 19:00:05 +0000 2018,0.0,0.898,0.102,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp",@BBC
27,0.0,Sun Jan 07 18:32:03 +0000 2018,0.0,1.0,0.0,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8",@BBC
28,0.6369,Sun Jan 07 17:59:05 +0000 2018,0.0,0.682,0.318,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,@BBC
29,0.4215,Sun Jan 07 17:19:01 +0000 2018,0.0,0.797,0.203,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",@BBC
30,0.128,Sun Jan 07 16:53:27 +0000 2018,0.308,0.359,0.333,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",@BBC
31,-0.0258,Sun Jan 07 16:34:03 +0000 2018,0.155,0.695,0.15,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8,@BBC
32,0.5859,Sun Jan 07 16:31:59 +0000 2018,0.0,0.612,0.388,RT @BBCWorld: A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,@BBC
33,0.6369,Sun Jan 07 16:31:55 +0000 2018,0.0,0.769,0.231,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz,@BBC
34,0.0,Sun Jan 07 16:31:45 +0000 2018,0.0,1.0,0.0,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century 🐉 https://t.co/eToUiRbB0Z,@BBC
35,0.4019,Sun Jan 07 16:31:39 +0000 2018,0.0,0.828,0.172,RT @bbccomedy: When your wife is definitely not your wife... 😳😂 #WouldILieToYou @joelycett https://t.co/Rr268sR8p6,@BBC
36,0.0,Sun Jan 07 16:30:09 +0000 2018,0.0,1.0,0.0,"The Ricky &amp; Graham Show, anyone?

#TheGNShow https://t.co/BvFk05j0Zq",@BBC
37,0.0,Sun Jan 07 16:27:07 +0000 2018,0.0,1.0,0.0,"RT @bbcmusic: You might recognise some of the names who voted in the #SoundOf2018 poll..

Hiya @stormzy1, @elliegoulding and @alexander_oll…",@BBC
38,0.0,Sun Jan 07 16:25:04 +0000 2018,0.0,1.0,0.0,RT @BBCTwo: Here's why doves will not be appearing at the Tokyo 2020 Olympics. 🕊😳 #QI https://t.co/Fm1FX4WzTQ,@BBC
39,0.0,Sun Jan 07 16:19:01 +0000 2018,0.0,1.0,0.0,"RT @BBCOne: 📞 INCOMING. 
#McMafia continues tonight at 9pm, @BBCOne. Don’t be late. https://t.co/z1JBKX7RAl",@BBC
40,-0.0772,Sun Jan 07 16:18:25 +0000 2018,0.075,0.925,0.0,RT @bbcworldservice: Could one of the toughest cycling races bring unity to Colombia? More here: https://t.co/mFL1O9spkM https://t.co/jnwDG…,@BBC
41,0.4019,Sun Jan 07 16:00:07 +0000 2018,0.0,0.856,0.144,"Burnt out? Here are 8 locations to help you get way, way away from it all. 👋 https://t.co/qINvxQrMPA https://t.co/CsANInn8PN",@BBC
42,-0.3182,Sun Jan 07 15:30:05 +0000 2018,0.152,0.758,0.09,"Are you prepared for the collapse of society? 😱
Here’s the knowledge you’d need to reboot civilisation. 👉… https://t.co/RQTUOyeMQC",@BBC
43,0.0,Sun Jan 07 15:01:01 +0000 2018,0.0,1.0,0.0,"Take a peek #InsideTheFactory to see how a fish finger is made. 🐟⚙️
https://t.co/FejNIi4sHz",@BBC
44,0.6597,Sun Jan 07 14:30:02 +0000 2018,0.0,0.769,0.231,This fisherman in Cornwall is helping to save cetaceans by using modern technology to aid his fishing practices. 🎣🐬 https://t.co/rLNKLQxfWf,@BBC
45,0.0,Sun Jan 07 14:00:04 +0000 2018,0.0,1.0,0.0,"The year is 2018.
Music is changing fast, but can the humans keep up?
Here's a handful of possible outcomes. 👉… https://t.co/pqYeLWwHNz",@BBC
46,0.6369,Sun Jan 07 13:33:06 +0000 2018,0.0,0.781,0.219,Take a look at some of the best photographs of the UK from last year. 📸 https://t.co/why5ck9xKk https://t.co/XJfduxho1z,@BBC
47,-0.1531,Sun Jan 07 13:10:30 +0000 2018,0.11,0.89,0.0,"RT @BBCRadio4: ‘I exaggerate for comic effect’ 
@charltonbrooker on his on-screen persona. 
#desertislanddiscs 
https://t.co/tdfpZEd4cj",@BBC
48,0.5267,Sun Jan 07 13:00:04 +0000 2018,0.0,0.841,0.159,"Is this the new age of the train? 

🚂 @BBC_Culture explores the brave new world of futuristic rail travel.… https://t.co/x6UBsXe6Eq",@BBC
49,-0.5423,Sun Jan 07 12:33:59 +0000 2018,0.189,0.763,0.048,"RT @BBCOne: A mysterious figure reaches out to Alex, who is finding it increasingly difficult to say no. #McMafia. Tonight, 9pm. @BBCOne. h…",@BBC
50,-0.5204,Sun Jan 07 12:30:05 +0000 2018,0.227,0.708,0.065,"If you have anxiety, you’re not alone. Over 8m people in the UK have an anxiety disorder of some sort. 
Here's some… https://t.co/rg917TPUKP",@BBC
51,-0.4588,Sun Jan 07 11:36:25 +0000 2018,0.273,0.727,0.0,RT @BBCScotland: The abandoned island reclaimed by seabirds 🐦 https://t.co/YRAVnFn8xA,@BBC
52,0.0,Sun Jan 07 11:35:58 +0000 2018,0.0,1.0,0.0,RT @bbcthree: Don't be this guy. https://t.co/8T8QJrBOjY,@BBC
53,0.0,Sun Jan 07 11:33:57 +0000 2018,0.0,1.0,0.0,"RT @bbcgetinspired: 😂 SPLASH!

When you're learning to paddleboard there's only one way it's going to end... 🙈 #GetInspired https://t.co/Zl…",@BBC
54,0.4588,Sun Jan 07 11:33:02 +0000 2018,0.0,0.75,0.25,RT @BBCRadio4: 15 podcasts guaranteed to make you smarter. https://t.co/BRm87q7mus,@BBC
55,0.0,Sun Jan 07 11:29:58 +0000 2018,0.0,1.0,0.0,"RT @BBCiPlayer: ☀️ ""The complete #HardSun dossier WILL BE RELEASED."" https://t.co/7AEUPT9M0n https://t.co/tl50rimCos",@BBC
56,0.1531,Sun Jan 07 11:05:24 +0000 2018,0.0,0.897,0.103,"RT @bbcthree: Here are solid comebacks for when people say ""non-binary people don't exist."" https://t.co/aQuQwutySF",@BBC
57,-0.5994,Sun Jan 07 11:01:46 +0000 2018,0.438,0.562,0.0,RT @BBCWorld: Death by selfie https://t.co/nr2lwSnMGr,@BBC
58,0.0,Sun Jan 07 11:00:06 +0000 2018,0.0,1.0,0.0,"What's the fattest animal on earth? 🐘🐋🐼

A whale, bear, supersized walrus or something altogether unexpected?… https://t.co/ETzGPKP3Eh",@BBC
59,0.0,Sun Jan 07 10:53:54 +0000 2018,0.0,1.0,0.0,RT @BBCNews: Royal Wedding: Late pub opening hours for Harry and Meghan https://t.co/7w6kcOjyxl,@BBC
60,0.5719,Sun Jan 07 10:49:25 +0000 2018,0.0,0.821,0.179,RT @BBCFood: Going low-cal but having cravings? Enter the easiest ever chicken traybake. 🙌 Full recipe here - https://t.co/KXMxTDDtgx https…,@BBC
61,0.0,Sun Jan 07 10:49:13 +0000 2018,0.0,1.0,0.0,"RT @BBCNewsround: In for a penny, in for a pound! Check out these new coin designs from the Royal Mint https://t.co/5hfRexBLyU https://t.co…",@BBC
62,0.0,Sun Jan 07 10:00:04 +0000 2018,0.0,1.0,0.0,💙🎶 Prepare to be mesmerised by the sounds of Scotland. https://t.co/d32eggwm1U,@BBC
63,-0.4215,Sun Jan 07 09:32:03 +0000 2018,0.149,0.851,0.0,"Women unhappy with their breast size are less likely to carry out regular self-examinations, study suggests.… https://t.co/41b81fLY8p",@BBC
64,0.0,Sun Jan 07 09:00:14 +0000 2018,0.0,1.0,0.0,The people of the whale. 📸🐋 https://t.co/TH7SUcw5JJ https://t.co/8ivwbmnhms,@BBC
65,-0.4588,Sun Jan 07 08:30:05 +0000 2018,0.364,0.636,0.0,'I fought anxiety and started teaching happiness.' https://t.co/K2TXy36b77 https://t.co/M4xJDR4rkd,@BBC
66,-0.4939,Sun Jan 07 08:00:04 +0000 2018,0.198,0.802,0.0,⚽️🏟 When ball boys steal the limelight and hit the big time. https://t.co/Rl0vUHaZZK https://t.co/Uc02sIM0gK,@BBC
67,0.0,Sat Jan 06 23:57:10 +0000 2018,0.0,1.0,0.0,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",@BBC
68,0.5859,Sat Jan 06 23:56:58 +0000 2018,0.0,0.743,0.257,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,@BBC
69,-0.4939,Sat Jan 06 23:56:09 +0000 2018,0.138,0.862,0.0,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",@BBC
70,0.0,Sat Jan 06 23:55:08 +0000 2018,0.0,1.0,0.0,"RT @BBCMOTD: 🎶 Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… 🎶

#FACup third round day always throws up some stories - today…",@BBC
71,0.0,Sat Jan 06 19:33:03 +0000 2018,0.0,1.0,0.0,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ",@BBC
72,0.3612,Sat Jan 06 19:01:04 +0000 2018,0.0,0.872,0.128,👰🤵🏆 @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy,@BBC
73,0.5859,Sat Jan 06 18:32:03 +0000 2018,0.0,0.808,0.192,"Tonight, nature lover Hugh Fearnley-Whittingstall exlpores the wildlife of the West Country. 🐭🍃 

Hugh's Wild West… https://t.co/GvNEA0JNz7",@BBC
74,0.4118,Sat Jan 06 17:59:01 +0000 2018,0.0,0.828,0.172,"We've made huge advances in eye care over the years, but will we ever be able to eliminate blindness? https://t.co/2IfDxktpiD",@BBC
75,0.3612,Sat Jan 06 17:30:07 +0000 2018,0.0,0.889,0.111,"'You feel like you’re in outer space.’
How people in the Russian far east cope with living in -50 Celsius. ❄ https://t.co/YIgVe77Zey",@BBC
76,0.0,Sat Jan 06 17:00:09 +0000 2018,0.0,1.0,0.0,"Who will stand the test of time and be remembered in 1,000 years? https://t.co/VpoJ0hQMlP https://t.co/ON7WonHhEC",@BBC
77,0.0,Sat Jan 06 16:45:03 +0000 2018,0.0,1.0,0.0,"Todogganing 🐶🏂
https://t.co/EFO7JRP77K",@BBC
78,-0.7269,Sat Jan 06 16:30:04 +0000 2018,0.319,0.681,0.0,These women in Pakistan are learning Mixed Martial Arts to fight against sexual harassment. 👊 https://t.co/TOVvhUN3cv,@BBC
79,-0.2006,Sat Jan 06 16:18:16 +0000 2018,0.225,0.637,0.137,RT @bbccomedy: Accidental likes? Buffering videos? Our parents have NO IDEA what we go through... 😭 https://t.co/E8R4OXVHcv,@BBC
80,-0.6486,Sat Jan 06 16:03:04 +0000 2018,0.338,0.531,0.13,Scientists are using a common virus used to help fight incurable brain cancer. 🔬 https://t.co/koLrDckPs4 https://t.co/yHjxJONrqi,@BBC
81,0.4588,Sat Jan 06 15:33:03 +0000 2018,0.062,0.773,0.165,🐶🐱📆  Should workers be allowed 'paw-ternity leave' - paid time off to care for their pets? https://t.co/DUIlvg8MfD https://t.co/E0qGmCaicv,@BBC
82,0.0,Sat Jan 06 15:21:56 +0000 2018,0.0,1.0,0.0,RT @bbcworldservice: Why we can't resist puppy dog eyes. 🐶 📻 https://t.co/3tHzsHxw6O https://t.co/do6bcqnMQJ,@BBC
83,-0.7901,Sat Jan 06 15:00:10 +0000 2018,0.389,0.611,0.0,Battle stations people! We may be heading for a chocolate crisis. 🍫😫 https://t.co/n1Hefd02KG https://t.co/fXS6mvx088,@BBC
84,0.3612,Sat Jan 06 14:00:04 +0000 2018,0.0,0.737,0.263,"What a polar bear cub sounds like. ❤️️
https://t.co/c8lWvBlo6U",@BBC
85,0.6369,Sat Jan 06 13:00:08 +0000 2018,0.0,0.721,0.279,Want to help the wildlife in your backyard this winter? Here are some ideas for creating a 'winter menu’. 😋 https://t.co/1TG8z9n1wf,@BBC
86,-0.6597,Sat Jan 06 12:00:06 +0000 2018,0.188,0.812,0.0,Thousands of people have attempted to build the world's tallest Lego tower in memory of an eight-year-old cancer vi… https://t.co/mknHDReqM5,@BBC
87,0.0,Sat Jan 06 11:41:46 +0000 2018,0.0,1.0,0.0,"RT @bbcrb: 😲😲 Did you know there's a whole Victorian street buried in Bristol? 
Come explore it with us! https://t.co/0juiW9gsoG",@BBC
88,0.8176,Sat Jan 06 11:41:41 +0000 2018,0.0,0.762,0.238,"RT @bbcstories: ""If I inspire even just one or two young black people to take up the cello or any instrument then that's an amazing and won…",@BBC
89,0.7096,Sat Jan 06 11:41:31 +0000 2018,0.0,0.731,0.269,RT @bbcthree: The teen who invented a 3D-printed hand for £225 to help those who couldn't afford them. https://t.co/ICW215RyF2,@BBC
90,0.4588,Sat Jan 06 11:41:27 +0000 2018,0.0,0.85,0.15,"RT @BBCOne: Welcome to the big league. 

🐯 #BigCats, starts Thursday at 8pm on @BBCOne and @BBCiPlayer 👉 https://t.co/ZrUUTEMuWX https://t.…",@BBC
91,-0.3182,Sat Jan 06 11:41:23 +0000 2018,0.247,0.753,0.0,RT @BBCiPlayer: 😂 The struggle is real. #Veganuary https://t.co/N5X9vUZNcl,@BBC
92,0.0,Sat Jan 06 11:41:14 +0000 2018,0.0,1.0,0.0,"RT @BBCWorld: This dog is making the most of the snow, all on her own ❄️🐶🛷

https://t.co/rlGFCrN2WL https://t.co/L3kelJvKOy",@BBC
93,-0.7088,Sat Jan 06 11:30:02 +0000 2018,0.228,0.772,0.0,"'That fly has no idea of the danger it's in right now.'

When Chris O’Dowd drank a fly (by accident!) on #TheGNShow… https://t.co/pYVliUFQl6",@BBC
94,-0.1007,Sat Jan 06 11:01:03 +0000 2018,0.184,0.655,0.161,Struggling to find a 2018 New Year's Resolution? This quiz could help! https://t.co/rRLGZO8pib https://t.co/WsSEDuAQX0,@BBC
95,0.6124,Sat Jan 06 10:30:10 +0000 2018,0.0,0.818,0.182,A 'Wolf supermoon' lit up the sky on New Year's Day - the largest and brightest moon of 2018. 😍🌝… https://t.co/rM73qLS7VV,@BBC
96,0.34,Sat Jan 06 10:14:59 +0000 2018,0.082,0.776,0.142,RT @bbcthree: This inspirational teacher overcame his stammer and is now showing his students how to do the same. https://t.co/8tl1rVaLf4,@BBC
97,0.3612,Sat Jan 06 10:00:03 +0000 2018,0.1,0.731,0.169,"Katie has around 16 seizures everyday. But that doesn’t stop her from doing what she loves. 🏃
#EverydayHeroes https://t.co/J7i1kN3PBY",@BBC
98,0.0,Sat Jan 06 08:59:04 +0000 2018,0.0,1.0,0.0,Researchers at an Oxford hospital have developed AI that can diagnose scans for heart disease &amp; lung cancer.… https://t.co/lsKdBKkHmu,@BBC
99,0.5994,Sat Jan 06 08:00:11 +0000 2018,0.0,0.794,0.206,🌇😍 @BBC_Culture rounds up the beautiful architecture coming to a city near you in 2018. 👉 https://t.co/15UN3ziNXu https://t.co/2GI15xFS9i,@BBC
100,0.4404,Sun Jan 07 23:00:20 +0000 2018,0.0,0.818,0.182,"How good the market under President Trump really is, in one chart https://t.co/LbKyzKttJK https://t.co/v4FRDFTsnm",@CNN
101,0.765,Sun Jan 07 22:45:08 +0000 2018,0.0,0.68,0.32,President Trump's first-year jobs record was strong. Just not as strong as Obama's last year.… https://t.co/TVAODRSUN9,@CNN
102,0.3182,Sun Jan 07 22:30:06 +0000 2018,0.0,0.892,0.108,"The Trump administration has revealed its master plan for securing the border — and it's going to cost $33 billion,… https://t.co/NQBatUrJcM",@CNN
103,-0.34,Sun Jan 07 22:15:08 +0000 2018,0.14,0.775,0.085,"The skeletons of two ancient infants, who lived and died in Alaska 11,500 years ago, are helping tell the story of… https://t.co/h44WrSRDmc",@CNN
104,0.0,Sun Jan 07 22:00:21 +0000 2018,0.0,1.0,0.0,"""We're in a real constitutional crisis."" Investigative reporter Carl Bernstein says the task of reporting on Presid… https://t.co/zoyWnqMcHs",@CNN
105,0.0,Sun Jan 07 21:45:07 +0000 2018,0.0,1.0,0.0,"World's longest glass bridge opens in Hebei, China https://t.co/qlgLreGWd7 (via @CNNTravel) https://t.co/OFhnsCXGVO",@CNN
106,0.0,Sun Jan 07 21:30:06 +0000 2018,0.0,1.0,0.0,"""I think that he (President Trump) always has to keep (North Korean leader) Kim (Jong Un) on his toes."" - US ambass… https://t.co/46WNth7M6i",@CNN
107,0.0,Sun Jan 07 21:15:07 +0000 2018,0.0,1.0,0.0,The 24 most grotesque lines from Jake Tapper's interview of White House senior adviser Stephen Miller… https://t.co/ZLfTHW5TpW,@CNN
108,0.296,Sun Jan 07 21:00:09 +0000 2018,0.0,0.784,0.216,Women share #WhyWeWearBlack ahead of Golden Globes https://t.co/iW0GJiOcdW https://t.co/rRtZ5TQnb5,@CNN
109,0.0,Sun Jan 07 20:45:04 +0000 2018,0.0,1.0,0.0,Secretary of State Rex Tillerson's new line: President Trump is right on everything https://t.co/0Fjo7jSt6r (via @CNNOpinion),@CNN
110,0.25,Sun Jan 07 20:30:09 +0000 2018,0.0,0.8,0.2,CIA director defends President Trump's mental abilities https://t.co/M8fQoFNtj9 https://t.co/cDtkvoQA0T,@CNN
111,-0.34,Sun Jan 07 20:15:10 +0000 2018,0.211,0.789,0.0,Water leak floods crowded JFK Airport baggage claim https://t.co/lyAB2vXjz4 https://t.co/ZzjBrTMoK5,@CNN
112,-0.7269,Sun Jan 07 20:00:09 +0000 2018,0.264,0.736,0.0,"""Fire and Fury"" author Michael Wolff says the 25th Amendment — which addresses the transition of powers if a presid… https://t.co/9DJWpEtppT",@CNN
113,-0.34,Sun Jan 07 19:45:09 +0000 2018,0.112,0.888,0.0,"Here is former White House chief strategist Steve Bannon's full statement on comments attributed to him in ""Fire an… https://t.co/WFgbuLgpEn",@CNN
114,-0.4019,Sun Jan 07 19:30:56 +0000 2018,0.179,0.821,0.0,"Two commercial planes collide on the ground in Toronto, sparking a small fire and prompting the evacuation of dozen… https://t.co/tozpXKwIAc",@CNN
115,0.0,Sun Jan 07 19:15:07 +0000 2018,0.0,1.0,0.0,"""It doesn't take a genius"" to see President Trump is ""badgering"" the Clinton Foundation investigation, says House I… https://t.co/F9OE3IXOHN",@CNN
116,0.34,Sun Jan 07 19:00:19 +0000 2018,0.0,0.844,0.156,New Homeland Security Secretary Kirstjen Nielsen secretary faces her first immigration litmus test… https://t.co/4IIbzqGJLr,@CNN
117,-0.7845,Sun Jan 07 18:45:14 +0000 2018,0.497,0.503,0.0,Saudi Arabia arrests 11 princes protesting cuts to perks https://t.co/i1txXespuD https://t.co/Jjb7O0O5qM,@CNN
118,0.0,Sun Jan 07 18:30:21 +0000 2018,0.0,1.0,0.0,Here's a look at the week in politics https://t.co/2IBAcXbiud https://t.co/i1JPHnAXLU,@CNN
119,0.0,Sun Jan 07 18:15:07 +0000 2018,0.0,1.0,0.0,"This ministry has the ""intractable"" task of reuniting North and South Korea https://t.co/aE2YJdwCkt https://t.co/LnDFXx2FCa",@CNN
120,0.4404,Sun Jan 07 23:00:20 +0000 2018,0.0,0.818,0.182,"How good the market under President Trump really is, in one chart https://t.co/LbKyzKttJK https://t.co/v4FRDFTsnm",@CNN
121,0.765,Sun Jan 07 22:45:08 +0000 2018,0.0,0.68,0.32,President Trump's first-year jobs record was strong. Just not as strong as Obama's last year.… https://t.co/TVAODRSUN9,@CNN
122,0.3182,Sun Jan 07 22:30:06 +0000 2018,0.0,0.892,0.108,"The Trump administration has revealed its master plan for securing the border — and it's going to cost $33 billion,… https://t.co/NQBatUrJcM",@CNN
123,-0.34,Sun Jan 07 22:15:08 +0000 2018,0.14,0.775,0.085,"The skeletons of two ancient infants, who lived and died in Alaska 11,500 years ago, are helping tell the story of… https://t.co/h44WrSRDmc",@CNN
124,0.0,Sun Jan 07 22:00:21 +0000 2018,0.0,1.0,0.0,"""We're in a real constitutional crisis."" Investigative reporter Carl Bernstein says the task of reporting on Presid… https://t.co/zoyWnqMcHs",@CNN
125,0.0,Sun Jan 07 21:45:07 +0000 2018,0.0,1.0,0.0,"World's longest glass bridge opens in Hebei, China https://t.co/qlgLreGWd7 (via @CNNTravel) https://t.co/OFhnsCXGVO",@CNN
126,0.0,Sun Jan 07 21:30:06 +0000 2018,0.0,1.0,0.0,"""I think that he (President Trump) always has to keep (North Korean leader) Kim (Jong Un) on his toes."" - US ambass… https://t.co/46WNth7M6i",@CNN
127,0.0,Sun Jan 07 21:15:07 +0000 2018,0.0,1.0,0.0,The 24 most grotesque lines from Jake Tapper's interview of White House senior adviser Stephen Miller… https://t.co/ZLfTHW5TpW,@CNN
128,0.296,Sun Jan 07 21:00:09 +0000 2018,0.0,0.784,0.216,Women share #WhyWeWearBlack ahead of Golden Globes https://t.co/iW0GJiOcdW https://t.co/rRtZ5TQnb5,@CNN
129,0.0,Sun Jan 07 20:45:04 +0000 2018,0.0,1.0,0.0,Secretary of State Rex Tillerson's new line: President Trump is right on everything https://t.co/0Fjo7jSt6r (via @CNNOpinion),@CNN
130,0.25,Sun Jan 07 20:30:09 +0000 2018,0.0,0.8,0.2,CIA director defends President Trump's mental abilities https://t.co/M8fQoFNtj9 https://t.co/cDtkvoQA0T,@CNN
131,-0.34,Sun Jan 07 20:15:10 +0000 2018,0.211,0.789,0.0,Water leak floods crowded JFK Airport baggage claim https://t.co/lyAB2vXjz4 https://t.co/ZzjBrTMoK5,@CNN
132,-0.7269,Sun Jan 07 20:00:09 +0000 2018,0.264,0.736,0.0,"""Fire and Fury"" author Michael Wolff says the 25th Amendment — which addresses the transition of powers if a presid… https://t.co/9DJWpEtppT",@CNN
133,-0.34,Sun Jan 07 19:45:09 +0000 2018,0.112,0.888,0.0,"Here is former White House chief strategist Steve Bannon's full statement on comments attributed to him in ""Fire an… https://t.co/WFgbuLgpEn",@CNN
134,-0.4019,Sun Jan 07 19:30:56 +0000 2018,0.179,0.821,0.0,"Two commercial planes collide on the ground in Toronto, sparking a small fire and prompting the evacuation of dozen… https://t.co/tozpXKwIAc",@CNN
